gene,score,tier,modalities,mutated,tpm,surface,n_drugs,top_drugs,civic_levels,civic_therapies,cosmic_role,n_trials,driver,evidence_summary
LNPEP,7,B,2,,344.5,YES,3,"TOSEDOSTAT, COMPOUND 17 [PMID: 23916253], INHIBITOR 19 [PMID: 21476495]",,,,0,,"Overexpressed (345 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)"
LPAR1,7,B,2,,565.6,YES,4,"BMS-986202, SAR100842, BMS-986020",,,,0,,"Overexpressed (566 TPM, p100) | Surface protein (HPA) | Druggable (4 drugs)"
LRP1,7,B,2,,1276.9,YES,3,"WARFARIN, ANG1005, ANTISENSE OLIGONUCLEOTIDES",,,,0,,"Overexpressed (1277 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)"
MAOB,7,B,2,,210.8,YES,33,"SAFINAMIDE, LEVODOPA, MOCLOBEMIDE",,,,0,,"Overexpressed (211 TPM, p99) | Surface protein (HPA) | Druggable (33 drugs)"
METAP2,7,B,2,,165.3,YES,8,"TOSEDOSTAT, BELORANIB, PPI-2458",,,,0,,"Overexpressed (165 TPM, p98) | Surface protein (HPA) | Druggable (8 drugs)"
MMP14,7,B,2,,498.2,YES,7,"CTS-1027, EPIGALLOCATECHIN GALLATE, PYROGALLOL RED",,,,0,,"Overexpressed (498 TPM, p100) | Surface protein (HPA) | Druggable (7 drugs)"
MSR1,7,B,2,,166.1,YES,1,H2O2,,,,0,,"Overexpressed (166 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)"
NDUFA1,7,B,2,,866.3,YES,3,"NV-128, METFORMIN HYDROCHLORIDE, ME-344",,,,0,,"Overexpressed (866 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)"
NRP1,7,B,2,,300.6,YES,3,"PEGAPTANIB, VESENCUMAB, PALIFERMIN",,,,0,,"Overexpressed (301 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)"
P4HA1,7,B,2,,658.9,YES,3,"SAFIRONIL, PYRIDINE-2,5-DICARBOXYLIC ACID, LUFIRONIL",,,,0,,"Overexpressed (659 TPM, p100) | Surface protein (HPA) | Druggable (3 drugs)"
P4HB,7,B,2,,251.1,YES,11,"LOMITAPIDE MESYLATE, LIQUIRITIN, ASTRAGALIN",,,,0,,"Overexpressed (251 TPM, p99) | Surface protein (HPA) | Druggable (11 drugs)"
PAK1,7,B,2,,184.1,YES,10,"MLN-8054, CENISERTIB, NVP-TAE684",,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA) | Druggable (10 drugs)"
PANX3,7,B,2,,2089.5,YES,2,"CARBENOXOLONE, FLUFENAMIC ACID",,,,0,,"Overexpressed (2090 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
PAPOLA,7,B,2,,214.4,YES,1,ETOPOSIDE,,,,0,,"Overexpressed (214 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
PDGFC,7,B,2,,328.2,YES,1,SUNITINIB,,,,0,,"Overexpressed (328 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
PECAM1,7,B,2,,163.3,YES,1,RESVERATROL,,,,0,,"Overexpressed (163 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)"
PHOSPHO1,7,B,2,,250.6,YES,2,"LANSOPRAZOLE, EBSELEN",,,,0,,"Overexpressed (251 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)"
PIP4K2A,7,B,2,,166.5,YES,1,FLUPIRTINE MALEATE,,,,0,,"Overexpressed (166 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)"
PKD2,7,B,2,,225.8,YES,1,ALLOPURINOL,,,,0,,"Overexpressed (226 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
PPP6R3,7,B,2,YES,199.8,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (200 TPM, p99) | Surface protein (HPA)"
PPT1,7,B,2,,457.3,YES,2,"PLITIDEPSIN, LAMOTRIGINE",,,,0,,"Overexpressed (457 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
PRDX4,7,B,2,,243.7,YES,1,DOCETAXEL ANHYDROUS,,,,0,,"Overexpressed (244 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
PRKD3,7,B,2,,197.8,YES,39,"DOVITINIB, TIGILANOL TIGLATE, GW441756X",,,,0,,"Overexpressed (198 TPM, p99) | Surface protein (HPA) | Druggable (39 drugs)"
PRNP,7,B,2,,456.6,YES,1,BREFELDIN A,,,,0,,"Overexpressed (457 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
PTH1R,7,B,2,,695.5,YES,12,"9-AMINOCAMPTOTHECIN, PARATHYROID HORMONE, ABALOPARATIDE",,,,0,,"Overexpressed (696 TPM, p100) | Surface protein (HPA) | Druggable (12 drugs)"
PTPN12,7,B,2,,604.7,YES,2,"CRIZOTINIB, SUNITINIB",,,,0,,"Overexpressed (605 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
PTPRM,7,B,2,,158.9,YES,1,COMPOUND 8A [PMID: 23713581],,,,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)"
PTPRS,7,B,2,,172.9,YES,1,ETIDRONIC ACID,,,,0,,"Overexpressed (173 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
PTPRZ1,7,B,2,,271.3,YES,3,"TETRADECANOYLPHORBOL ACETATE, TRETINOIN, VITAMIN D",,,,0,,"Overexpressed (271 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)"
RALA,7,B,2,,161.0,YES,1,VITAMIN E,,,,0,,"Overexpressed (161 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)"
RRM2B,7,B,2,,190.6,YES,10,"FLUDARABINE, GALLIUM NITRATE, HYDROXYUREA",,,,0,,"Overexpressed (191 TPM, p99) | Surface protein (HPA) | Druggable (10 drugs)"
RTN4,7,B,2,,482.9,YES,5,"ATI-355, ANTISENSE OLIGONUCLEOTIDES, ATINUMAB",,,,0,,"Overexpressed (483 TPM, p100) | Surface protein (HPA) | Druggable (5 drugs)"
S100A10,7,B,2,,1055.3,YES,2,"DEXAMETHASONE, THERAPEUTIC GONADOTROPIN",,,,0,,"Overexpressed (1055 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
SDC2,7,B,2,,381.3,YES,1,HEPARAN SULFATE,,,,0,,"Overexpressed (381 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
SERPINH1,7,B,2,,188.1,YES,6,"DL-TBOA, ANTISENSE OLIGONUCLEOTIDES, ASPARTIC ACID",,,,0,,"Overexpressed (188 TPM, p99) | Surface protein (HPA) | Druggable (6 drugs)"
SGPP1,7,B,2,,161.1,YES,1,SONEPCIZUMAB,,,,0,,"Overexpressed (161 TPM, p98) | Surface protein (HPA) | Druggable (1 drugs)"
SLC30A9,7,B,2,,202.9,YES,1,ASPIRIN,,,,0,,"Overexpressed (203 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
SLC38A2,7,B,2,,695.3,YES,1,ALANINE,,,,0,,"Overexpressed (695 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
SLC38A4,7,B,2,,252.2,YES,2,"GLYCINE, ALANINE",,,,0,,"Overexpressed (252 TPM, p99) | Surface protein (HPA) | Druggable (2 drugs)"
SLC39A6,7,B,2,,330.0,YES,1,LADIRATUZUMAB VEDOTIN,,,,0,,"Overexpressed (330 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
SLK,7,B,2,,300.7,YES,30,"CEDIRANIB, CYC-116, BAY 61-3606",,,,0,,"Overexpressed (301 TPM, p99) | Surface protein (HPA) | Druggable (30 drugs)"
SORT1,7,B,2,YES,124.7,YES,0,,,,,0,,"Mutated (MODERATE) | Overexpressed (125 TPM, p98) | Surface protein (HPA)"
STK17A,7,B,2,,198.0,YES,16,"AZD-1080, CYC-116, RG-1530",,,,0,,"Overexpressed (198 TPM, p99) | Surface protein (HPA) | Druggable (16 drugs)"
STOM,7,B,2,,263.9,YES,9,"SR8185, MPI-0485520, BX-795",,,,0,,"Overexpressed (264 TPM, p99) | Surface protein (HPA) | Druggable (9 drugs)"
TAOK1,7,B,2,,236.5,YES,29,"RG-1530, TAMATINIB, SOTRASTAURIN",,,,0,,"Overexpressed (236 TPM, p99) | Surface protein (HPA) | Druggable (29 drugs)"
TGFB1,7,B,2,,389.8,YES,59,"INTERFERON ALFA-2B, PIOGLITAZONE HYDROCHLORIDE, SILYMARIN",,,,0,,"Overexpressed (390 TPM, p100) | Surface protein (HPA) | Druggable (59 drugs)"
TMEM167A,7,B,2,,211.1,YES,1,FLUOROURACIL,,,,0,,"Overexpressed (211 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
TPP1,7,B,2,,323.1,YES,1,CERLIPONASE ALFA,,,,0,,"Overexpressed (323 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
TXN,7,B,2,,210.4,YES,4,"GAMBOGENIC ACID, PX-12, GAMBOGIC ACID",,,,0,,"Overexpressed (210 TPM, p99) | Surface protein (HPA) | Druggable (4 drugs)"
TXNIP,7,B,2,,2812.7,YES,1,RECOMBINANT FAS LIGAND,,,,0,,"Overexpressed (2813 TPM, p100) | Surface protein (HPA) | Druggable (1 drugs)"
UBE2K,7,B,2,,181.7,YES,3,"HISTIDINE, DEXTROAMPHETAMINE SULFATE, HISTAMINE",,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA) | Druggable (3 drugs)"
UGCG,7,B,2,,269.7,YES,10,"VENGLUSTAT, PRALICIGUAT, ADRIAMYCIN",,,,0,,"Overexpressed (270 TPM, p99) | Surface protein (HPA) | Druggable (10 drugs)"
UTRN,7,B,2,,391.9,YES,2,"ENZYME INHIBITOR, EZUTROMID",,,,0,,"Overexpressed (392 TPM, p100) | Surface protein (HPA) | Druggable (2 drugs)"
XBP1,7,B,2,,170.5,YES,11,"ANGUSTIBALIN, PROTOAPIGENONE, DITHIAZANINE IODIDE",,,,0,,"Overexpressed (170 TPM, p98) | Surface protein (HPA) | Druggable (11 drugs)"
YBX1,7,B,2,,293.7,YES,1,ABIRATERONE ACETATE,,,,0,,"Overexpressed (294 TPM, p99) | Surface protein (HPA) | Druggable (1 drugs)"
YES1,7,B,2,,343.7,YES,175,"SB203580, SB-633825, GW643971X",,,,0,,"Overexpressed (344 TPM, p100) | Surface protein (HPA) | Druggable (175 drugs)"
PRKCB,6,B,4,YES,3.2,,16,"RUBOXISTAURIN, CEP-2563 DIHYDROCHLORIDE, QUERCETIN",D,,,0,,"Mutated (MODERATE) | Expressed (3 TPM) | Druggable (16 drugs) | CIViC (1 items, levels D) | COSMIC (nan)"
BMP1,6,B,3,YES,85.5,,1,COMPOUND 2 [PMID: 11934595],,,,0,,"Mutated (MODERATE) | Overexpressed (86 TPM, p96) | Druggable (1 drugs)"
COL4A2,6,B,3,YES,83.0,,3,"OCRIPLASMIN, COLLAGENASE CLOSTRIDIUM HISTOLYTICUM, NAVOXIMOD",,,,0,,"Mutated (MODERATE) | Overexpressed (83 TPM, p96) | Druggable (3 drugs)"
H1-2,6,B,3,YES,880.0,,8,"DASA-58, COMPOUND 16 [PMID: 31977207], COMPOUND 1 [PMID: 31465224]",,,,0,,"Mutated (MODERATE) | Overexpressed (880 TPM, p100) | Druggable (8 drugs)"
AFDN,6,B,2,,203.8,YES,0,,,,"oncogene, fusion",0,,"Overexpressed (204 TPM, p99) | Surface protein (HPA) | COSMIC (oncogene, fusion)"
ARHGEF12,6,B,2,,188.4,YES,0,,,,"TSG, fusion",0,,"Overexpressed (188 TPM, p99) | Surface protein (HPA) | COSMIC (TSG, fusion)"
CREB3L2,6,B,2,,225.7,YES,0,,,,"oncogene, fusion",0,,"Overexpressed (226 TPM, p99) | Surface protein (HPA) | COSMIC (oncogene, fusion)"
DDX3X,6,B,2,,301.0,YES,0,,,,TSG,0,,"Overexpressed (301 TPM, p99) | Surface protein (HPA) | COSMIC (TSG)"
EIF3E,6,B,2,,165.1,YES,0,,,,"TSG, fusion",0,,"Overexpressed (165 TPM, p98) | Surface protein (HPA) | COSMIC (TSG, fusion)"
EVC,6,B,2,YES,36.8,YES,1,COMPOUND 22 [PMID: 20462760],,,,0,,Mutated (HIGH) | Expressed (37 TPM) | Surface protein (HPA) | Druggable (1 drugs)
FAT3,6,B,2,,192.1,YES,0,,,,,0,,"Overexpressed (192 TPM, p99) | Surface protein (HPA) | COSMIC (nan)"
FAT4,6,B,2,,204.5,YES,0,,,,TSG,0,,"Overexpressed (204 TPM, p99) | Surface protein (HPA) | COSMIC (TSG)"
GOLGA5,6,B,2,,208.3,YES,0,,,,fusion,0,,"Overexpressed (208 TPM, p99) | Surface protein (HPA) | COSMIC (fusion)"
HERPUD1,6,B,2,,194.5,YES,0,,,,fusion,0,,"Overexpressed (195 TPM, p99) | Surface protein (HPA) | COSMIC (fusion)"
IL1RL2,6,B,2,YES,3.2,YES,3,"IMSIDOLIMAB, SPESOLIMAB, SPESOLIMAB",,,,0,,Mutated (HIGH) | Expressed (3 TPM) | Surface protein (HPA) | Druggable (3 drugs)
KTN1,6,B,2,,206.7,YES,0,,,,fusion,0,,"Overexpressed (207 TPM, p99) | Surface protein (HPA) | COSMIC (fusion)"
LPP,6,B,2,,175.6,YES,0,,,,"oncogene, fusion",0,,"Overexpressed (176 TPM, p99) | Surface protein (HPA) | COSMIC (oncogene, fusion)"
MLLT10,6,B,2,,157.6,YES,0,,,,"oncogene, fusion",0,,"Overexpressed (158 TPM, p98) | Surface protein (HPA) | COSMIC (oncogene, fusion)"
MSN,6,B,2,,160.3,YES,0,,,,fusion,0,,"Overexpressed (160 TPM, p98) | Surface protein (HPA) | COSMIC (fusion)"
MYH9,6,B,2,,332.3,YES,0,,,,"TSG, fusion",0,,"Overexpressed (332 TPM, p99) | Surface protein (HPA) | COSMIC (TSG, fusion)"
RPN1,6,B,2,,225.9,YES,0,,,,fusion,0,,"Overexpressed (226 TPM, p99) | Surface protein (HPA) | COSMIC (fusion)"
NR2F2,5,B,3,YES,28.4,,3,"PYRIDABEN, RESACTIN A, CYCLOHEXIMIDE",,,,0,,Mutated (MODERATE) | Expressed (28 TPM) | Druggable (3 drugs) | COSMIC (nan)
ACE,5,B,2,YES,3.0,YES,59,"SALVIANOLIC ACID B, CANDOXATRIL, CILAZAPRIL",,,,0,,Mutated (MODERATE) | Expressed (3 TPM) | Surface protein (HPA) | Druggable (59 drugs)
ATP1A2,5,B,2,YES,0.3,YES,7,"OLANZAPINE, DESLANOSIDE, DIGITOXIN",,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (7 drugs)
BAZ1B,5,B,2,YES,562.0,,0,,,,,0,,"Mutated (HIGH) | Overexpressed (562 TPM, p100)"
CNTRL,5,B,2,YES,20.2,YES,0,,,,fusion,0,,Mutated (HIGH) | Expressed (20 TPM) | Surface protein (HPA) | COSMIC (fusion)
DAB2IP,5,B,2,YES,68.0,,0,,,,,0,,"Mutated (HIGH) | Overexpressed (68 TPM, p95)"
DBH,5,B,2,YES,1.2,YES,15,"ETAMICASTAT, DISULFIRAM, SUMATRIPTAN",,,,0,,Mutated (MODERATE) | Expressed (1 TPM) | Surface protein (HPA) | Druggable (15 drugs)
DOT1L,5,B,2,YES,29.7,,1,CANDESARTAN CILEXETIL,,,,0,,Mutated (HIGH) | Expressed (30 TPM) | Druggable (1 drugs)
DRD1,5,B,2,YES,0.4,YES,187,"PEXIDARTINIB, PROPIOMAZINE, LINIFANIB",,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (187 drugs)
KCNH4,5,B,2,YES,0.5,YES,6,"NERISPIRDINE, AMIFAMPRIDINE PHOSPHATE, AMIFAMPRIDINE",,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (6 drugs)
LY75,5,B,2,YES,2.3,YES,1,RASDEGAFUSP ALFA,,,,0,,Mutated (MODERATE) | Expressed (2 TPM) | Surface protein (HPA) | Druggable (1 drugs)
NLGN1,5,B,2,YES,3.6,YES,1,FLUOROURACIL,,,,0,,Mutated (MODERATE) | Expressed (4 TPM) | Surface protein (HPA) | Druggable (1 drugs)
NTF3,5,B,2,YES,1.7,,26,"ALTEPLASE, RISPERIDONE, NALOXONE HYDROCHLORIDE",,,,0,,Mutated (HIGH) | Expressed (2 TPM) | Druggable (26 drugs)
OR10P1,5,B,2,YES,,YES,2,"METOPROLOL, ATENOLOL",,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (2 drugs)
RUNX2,5,B,2,,1142.6,,1,ANTISENSE OLIGONUCLEOTIDES,,,,0,YES,"Overexpressed (1143 TPM, p100) | Druggable (1 drugs) | Known Osteosarcoma driver"
XPNPEP2,5,B,2,YES,,YES,1,TOSEDOSTAT,,,,0,,Mutated (MODERATE) | Surface protein (HPA) | Druggable (1 drugs)
ADNP,5,C,1,,299.3,YES,0,,,,,0,,"Overexpressed (299 TPM, p99) | Surface protein (HPA)"
AHNAK,5,C,1,,2747.9,YES,0,,,,,0,,"Overexpressed (2748 TPM, p100) | Surface protein (HPA)"
AKAP11,5,C,1,,188.0,YES,0,,,,,0,,"Overexpressed (188 TPM, p99) | Surface protein (HPA)"
ANO6,5,C,1,,416.4,YES,0,,,,,0,,"Overexpressed (416 TPM, p100) | Surface protein (HPA)"
ANTXR1,5,C,1,,213.6,YES,0,,,,,0,,"Overexpressed (214 TPM, p99) | Surface protein (HPA)"
ANTXR2,5,C,1,,247.1,YES,0,,,,,0,,"Overexpressed (247 TPM, p99) | Surface protein (HPA)"
APMAP,5,C,1,,218.2,YES,0,,,,,0,,"Overexpressed (218 TPM, p99) | Surface protein (HPA)"
APOL2,5,C,1,,253.4,YES,0,,,,,0,,"Overexpressed (253 TPM, p99) | Surface protein (HPA)"
APOLD1,5,C,1,,159.8,YES,0,,,,,0,,"Overexpressed (160 TPM, p98) | Surface protein (HPA)"
ARHGAP18,5,C,1,,214.9,YES,0,,,,,0,,"Overexpressed (215 TPM, p99) | Surface protein (HPA)"
ARHGAP21,5,C,1,,243.8,YES,0,,,,,0,,"Overexpressed (244 TPM, p99) | Surface protein (HPA)"
ARHGEF6,5,C,1,,274.1,YES,0,,,,,0,,"Overexpressed (274 TPM, p99) | Surface protein (HPA)"
ARL6IP5,5,C,1,,259.9,YES,0,,,,,0,,"Overexpressed (260 TPM, p99) | Surface protein (HPA)"
ASAP1,5,C,1,,406.1,YES,0,,,,,0,,"Overexpressed (406 TPM, p100) | Surface protein (HPA)"
ATG14,5,C,1,,186.3,YES,0,,,,,0,,"Overexpressed (186 TPM, p99) | Surface protein (HPA)"
ATL3,5,C,1,,252.9,YES,0,,,,,0,,"Overexpressed (253 TPM, p99) | Surface protein (HPA)"
ATP11B,5,C,1,,157.2,YES,0,,,,,0,,"Overexpressed (157 TPM, p98) | Surface protein (HPA)"
ATP6V0E1,5,C,1,,231.0,YES,0,,,,,0,,"Overexpressed (231 TPM, p99) | Surface protein (HPA)"
ATRN,5,C,1,,181.6,YES,0,,,,,0,,"Overexpressed (182 TPM, p99) | Surface protein (HPA)"
ATXN10,5,C,1,,158.7,YES,0,,,,,0,,"Overexpressed (159 TPM, p98) | Surface protein (HPA)"
BAG5,5,C,1,,255.7,YES,0,,,,,0,,"Overexpressed (256 TPM, p99) | Surface protein (HPA)"
BAMBI,5,C,1,,366.7,YES,0,,,,,0,,"Overexpressed (367 TPM, p100) | Surface protein (HPA)"
BPNT2,5,C,1,,632.4,YES,0,,,,,0,,"Overexpressed (632 TPM, p100) | Surface protein (HPA)"
C1QB,5,C,1,,189.8,YES,0,,,,,0,,"Overexpressed (190 TPM, p99) | Surface protein (HPA)"
C1orf43,5,C,1,,209.2,YES,0,,,,,0,,"Overexpressed (209 TPM, p99) | Surface protein (HPA)"
C3orf38,5,C,1,,163.3,YES,0,,,,,0,,"Overexpressed (163 TPM, p98) | Surface protein (HPA)"
C4orf3,5,C,1,,473.0,YES,0,,,,,0,,"Overexpressed (473 TPM, p100) | Surface protein (HPA)"
C5orf15,5,C,1,,266.2,YES,0,,,,,0,,"Overexpressed (266 TPM, p99) | Surface protein (HPA)"
CADM1,5,C,1,,196.9,YES,0,,,,,0,,"Overexpressed (197 TPM, p99) | Surface protein (HPA)"
CALD1,5,C,1,,393.5,YES,0,,,,,0,,"Overexpressed (393 TPM, p100) | Surface protein (HPA)"
CAVIN1,5,C,1,,225.7,YES,0,,,,,0,,"Overexpressed (226 TPM, p99) | Surface protein (HPA)"
CCDC47,5,C,1,,223.2,YES,0,,,,,0,,"Overexpressed (223 TPM, p99) | Surface protein (HPA)"
CD164,5,C,1,,185.3,YES,0,,,,,0,,"Overexpressed (185 TPM, p99) | Surface protein (HPA)"
CD93,5,C,1,,201.5,YES,0,,,,,0,,"Overexpressed (202 TPM, p99) | Surface protein (HPA)"
CDC42EP3,5,C,1,,375.5,YES,0,,,,,0,,"Overexpressed (375 TPM, p100) | Surface protein (HPA)"
CDV3,5,C,1,,411.3,YES,0,,,,,0,,"Overexpressed (411 TPM, p100) | Surface protein (HPA)"
CEMIP2,5,C,1,,540.5,YES,0,,,,,0,,"Overexpressed (540 TPM, p100) | Surface protein (HPA)"
CHML,5,C,1,,300.5,YES,0,,,,,0,,"Overexpressed (300 TPM, p99) | Surface protein (HPA)"
CKAP5,5,C,1,,252.7,YES,0,,,,,0,,"Overexpressed (253 TPM, p99) | Surface protein (HPA)"
CLDN12,5,C,1,,239.9,YES,0,,,,,0,,"Overexpressed (240 TPM, p99) | Surface protein (HPA)"
CLEC2B,5,C,1,,381.2,YES,0,,,,,0,,"Overexpressed (381 TPM, p100) | Surface protein (HPA)"
CLIC4,5,C,1,,354.9,YES,0,,,,,0,,"Overexpressed (355 TPM, p100) | Surface protein (HPA)"
CLMP,5,C,1,,209.3,YES,0,,,,,0,,"Overexpressed (209 TPM, p99) | Surface protein (HPA)"
CLSTN1,5,C,1,,195.9,YES,0,,,,,0,,"Overexpressed (196 TPM, p99) | Surface protein (HPA)"
CLTA,5,C,1,,221.4,YES,0,,,,,0,,"Overexpressed (221 TPM, p99) | Surface protein (HPA)"
CMTM6,5,C,1,,175.7,YES,0,,,,,0,,"Overexpressed (176 TPM, p99) | Surface protein (HPA)"
CNOT1,5,C,1,,160.6,YES,0,,,,,0,,"Overexpressed (161 TPM, p98) | Surface protein (HPA)"
COLEC12,5,C,1,,313.2,YES,0,,,,,0,,"Overexpressed (313 TPM, p99) | Surface protein (HPA)"
COX7C,5,C,1,,259.7,YES,0,,,,,0,,"Overexpressed (260 TPM, p99) | Surface protein (HPA)"
CRIM1,5,C,1,,241.1,YES,0,,,,,0,,"Overexpressed (241 TPM, p99) | Surface protein (HPA)"
CSDE1,5,C,1,,723.0,YES,0,,,,,0,,"Overexpressed (723 TPM, p100) | Surface protein (HPA)"
CYBRD1,5,C,1,,222.4,YES,0,,,,,0,,"Overexpressed (222 TPM, p99) | Surface protein (HPA)"
DAB2,5,C,1,,515.5,YES,0,,,,,0,,"Overexpressed (516 TPM, p100) | Surface protein (HPA)"
DAD1,5,C,1,,220.4,YES,0,,,,,0,,"Overexpressed (220 TPM, p99) | Surface protein (HPA)"
DDX17,5,C,1,,555.6,YES,0,,,,,0,,"Overexpressed (556 TPM, p100) | Surface protein (HPA)"
DDX3Y,5,C,1,,461.6,YES,0,,,,,0,,"Overexpressed (462 TPM, p100) | Surface protein (HPA)"
DEGS1,5,C,1,,183.6,YES,0,,,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA)"
DIO2,5,C,1,,511.7,YES,0,,,,,0,,"Overexpressed (512 TPM, p100) | Surface protein (HPA)"
DNAJB9,5,C,1,,213.8,YES,0,,,,,0,,"Overexpressed (214 TPM, p99) | Surface protein (HPA)"
DNAJC1,5,C,1,,199.7,YES,0,,,,,0,,"Overexpressed (200 TPM, p99) | Surface protein (HPA)"
DNAJC3,5,C,1,,235.0,YES,0,,,,,0,,"Overexpressed (235 TPM, p99) | Surface protein (HPA)"
DOCK1,5,C,1,,163.7,YES,0,,,,,0,,"Overexpressed (164 TPM, p98) | Surface protein (HPA)"
DSTN,5,C,1,,1702.2,YES,0,,,,,0,,"Overexpressed (1702 TPM, p100) | Surface protein (HPA)"
EDIL3,5,C,1,,1035.0,YES,0,,,,,0,,"Overexpressed (1035 TPM, p100) | Surface protein (HPA)"
EIF3L,5,C,1,,257.4,YES,0,,,,,0,,"Overexpressed (257 TPM, p99) | Surface protein (HPA)"
EIF5B,5,C,1,,195.2,YES,0,,,,,0,,"Overexpressed (195 TPM, p99) | Surface protein (HPA)"
ELOVL5,5,C,1,,412.2,YES,0,,,,,0,,"Overexpressed (412 TPM, p100) | Surface protein (HPA)"
EMC7,5,C,1,,262.6,YES,0,,,,,0,,"Overexpressed (263 TPM, p99) | Surface protein (HPA)"
ENAH,5,C,1,,374.4,YES,0,,,,,0,,"Overexpressed (374 TPM, p100) | Surface protein (HPA)"
ENTPD4,5,C,1,,158.0,YES,0,,,,,0,,"Overexpressed (158 TPM, p98) | Surface protein (HPA)"
ERBIN,5,C,1,,267.7,YES,0,,,,,0,,"Overexpressed (268 TPM, p99) | Surface protein (HPA)"
ERGIC2,5,C,1,,180.4,YES,0,,,,,0,,"Overexpressed (180 TPM, p99) | Surface protein (HPA)"
EVI2A,5,C,1,,340.1,YES,0,,,,,0,,"Overexpressed (340 TPM, p99) | Surface protein (HPA)"
EVI2B,5,C,1,,324.0,YES,0,,,,,0,,"Overexpressed (324 TPM, p99) | Surface protein (HPA)"
FAM241A,5,C,1,,166.4,YES,0,,,,,0,,"Overexpressed (166 TPM, p98) | Surface protein (HPA)"
FAM8A1,5,C,1,,170.9,YES,0,,,,,0,,"Overexpressed (171 TPM, p98) | Surface protein (HPA)"
FCHSD2,5,C,1,,200.4,YES,0,,,,,0,,"Overexpressed (200 TPM, p99) | Surface protein (HPA)"
FKBP10,5,C,1,,369.7,YES,0,,,,,0,,"Overexpressed (370 TPM, p100) | Surface protein (HPA)"
FNDC3A,5,C,1,,240.1,YES,0,,,,,0,,"Overexpressed (240 TPM, p99) | Surface protein (HPA)"
FNDC3B,5,C,1,,277.2,YES,0,,,,,0,,"Overexpressed (277 TPM, p99) | Surface protein (HPA)"
FRS2,5,C,1,,209.5,YES,0,,,,,0,,"Overexpressed (209 TPM, p99) | Surface protein (HPA)"
GABARAPL1,5,C,1,,225.1,YES,0,,,,,0,,"Overexpressed (225 TPM, p99) | Surface protein (HPA)"
GASK1B,5,C,1,,183.7,YES,0,,,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA)"
GINM1,5,C,1,,210.1,YES,0,,,,,0,,"Overexpressed (210 TPM, p99) | Surface protein (HPA)"
GNS,5,C,1,,456.4,YES,0,,,,,0,,"Overexpressed (456 TPM, p100) | Surface protein (HPA)"
GOLIM4,5,C,1,,584.5,YES,0,,,,,0,,"Overexpressed (584 TPM, p100) | Surface protein (HPA)"
GPBP1,5,C,1,,223.0,YES,0,,,,,0,,"Overexpressed (223 TPM, p99) | Surface protein (HPA)"
GPX4,5,C,1,,355.6,YES,0,,,,,0,,"Overexpressed (356 TPM, p100) | Surface protein (HPA)"
GTF3C1,5,C,1,,183.7,YES,0,,,,,0,,"Overexpressed (184 TPM, p99) | Surface protein (HPA)"
HEG1,5,C,1,,169.3,YES,0,,,,,0,,"Overexpressed (169 TPM, p98) | Surface protein (HPA)"
HELZ,5,C,1,,242.3,YES,0,,,,,0,,"Overexpressed (242 TPM, p99) | Surface protein (HPA)"
HILPDA,5,C,1,,282.0,YES,0,,,,,0,,"Overexpressed (282 TPM, p99) | Surface protein (HPA)"
HIPK1,5,C,1,,228.3,YES,0,,,,,0,,"Overexpressed (228 TPM, p99) | Surface protein (HPA)"
